Id;DESCRIPCION;NUMERO_PROCESO;ESTADO;TIPO_PROCESO;UNIDAD_CONTRATACION;VALOR_ESTIMADO;FASE_ACTUAL;ENTIDAD_ESTATAL;FECHA_PUBLICACION;FECHA_OFERTAS;CODIGO_NOTICE;FECHA_PRESENTACION;TIPO_CONTRATO;JUSTIFICACION_CONTRATO;FECHA_TERMINACION;DESCRIPCION_CONTRATO;VALOR_ESTIMADO_ADQUISICIONES;CODIGO_UNSPSC;Licita
927;Servicio de actualización, configuración e instalación del Programa ESPARTA, versión 2024, para el Colegio Liceo Nacional Antonia Santos IED;CLNAS-RE-013-2024;Publicado;Contratación régimen especial;COLEGIO LICEO NACIONAL ANTONIA SANTOS IED UNIDAD CONTRATACIÓN;1000000;Presentación de oferta;COLEGIO LICEO NACIONAL ANTONIA SANTOS IED;19 días de tiempo transcurrido (19/04/2024 2:53:22 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6006784;-;Decreto 092 de 2017;Decreto 092 de 2017;14 días de tiempo transcurrido (24/04/2024 5:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Servicio de actualización, configuración e instalación del Programa ESPARTA, versión 2024, para el  Colegio Liceo Nacional Antonia Santos IED.;1000000;43231604 - Software de análisis financiero;
928;APLICATIVO PRESUPUESTAL;CHM-RE-03-2024;Publicado;Contratación régimen especial;GASTOS DE COMPUTADOR;950000;Presentación de oferta;INSTITUCION EDUCATIVA DISTRITAL HELADIA MEJIA;20 días de tiempo transcurrido (18/04/2024 4:39:50 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6001782;-;Prestación de servicios;Regla aplicable;19/04/2025 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);SE REQUIERE LA  RENOVACION DE LA LICENCIA DEL APLICATIVO PRESUPUESTAL PARA LA ADMINISTRACION RECURSOS Y GESTION DE CONTRATACION DE LA INSTITUCION.;0;43231604 - Software de análisis financiero;
929;COMPRA ACTUALIZACION APLICATIVO DE TESORERIA Y FINANCIERA AS - FINANCIERO 2024;06 - 2024;Publicado;Contratación régimen especial;COLEGIO RAFAEL NUÑEZ;900000;Presentación de oferta;COLEGIO RAFAEL NUÑEZ IED;21 días de tiempo transcurrido (17/04/2024 3:23:51 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5994869;-;Decreto 092 de 2017;Decreto 092 de 2017;21 días de tiempo transcurrido (17/04/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);COMPRA ACTUALIZACION  APLICATIVO DE TESORERIA Y FINANCIERA  AS - FINANCIERO 2024;900000;43231604 - Software de análisis financiero;
930;Actualización del aplicativo As Financiero para el manejo y control de la información contractual, contable, financiera y de tesorería durante la vigencia presupuestal 2024 del Colegio Saludcoop Norte;CSN-005-2024;Publicado;Contratación régimen especial;COLEGIO SALUDCOOP NORTE IED;900000;Presentación de oferta;COLEGIO SALUDCOOP NORTE IED;29 días de tiempo transcurrido (9/04/2024 3:24:29 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5954478;-;Decreto 092 de 2017;Decreto 092 de 2017;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Actualización del aplicativo As Financiero para el manejo y control de la información contractual, contable, financiera y de tesorería durante la vigencia presupuestal 2024 del Colegio Saludcoop Norte;950000;43231604 - Software de análisis financiero;
931;SOLUCIONES EN NGENIERIA Y SOFTWARE S.A.S;011-2024;Publicado;Contratación régimen especial;ADQUISICIONES;24059607;Presentación de oferta;CENTRO DE DIAGNOSTICO AUTOMOTOR DEL RISARALDA SAS;27/03/2024 4:54:05 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5904505;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS DE RENOVACIÓN, MANTENIMIENTO, SOPORTE TÉCNICO Y ACTUALIZACIÓN DEL SOFTWARE CONTABLE Y PRESUPUESTAL PARA LA VIGENCIA 2024;31759016;43231604 - Software de análisis financiero;
932;TECNIMAQ INGENIRIA S.A.S;006-2024;Publicado;Contratación régimen especial;ADQUISICIONES;10195920;Presentación de oferta;CENTRO DE DIAGNOSTICO AUTOMOTOR DEL RISARALDA SAS;27/03/2024 3:31:37 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5904133;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR EL SERVICIO DE ASISTENCIA REMOTA, ACTUALIZACIÓN DE SOFTWARE TECNI RTM Y COPIA DE SEGURIDAD EN LA NUBE (BACKUP) DURANTE LA VIGENCIA 2024;31759016;43231604 - Software de análisis financiero;
933;ADQUISICION DE SOFTWARE FINANCIERO (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);SAMC 003-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta);Proceso adjudicado y celebrado;Selección abreviada menor cuantía;CONTRATACION CONTRALORIA CALI;100000000;Presentación de oferta;CONTRALORIA CALI;22/03/2024 2:53:01 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5887788;26 días de tiempo transcurrido (12/04/2024 2:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Otro;Menor Cuantía;15/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ADQUIRIR LICENCIA DE USO, IMPLEMENTACIÓN, CAPACITACIÓN Y SOPORTE TÉCNICO DE UN SOFTWARE FINANCIERO, EL CUAL DEBE INCLUIR LOS MODULOS DE NOMINA, CONTABILIDAD, PRESUPUESTO, INVENTARIOS Y CUENTAS CORRIENTES (TESORERIA), PARA LA GESTIÓN Y CONTROL DE LOS PROCESOS DE LA CONTRALORIA GENERAL DE SANTIAGO DE CAL VIGENCIA 2024;0;43231604 - Software de análisis financiero;
934;ADQUISICIÓN DEL APLICATIVO FINANCIERO Y ACTUALIZACION DE LICENCIA DE SOFTWARE ALMACEN PARA PROCESOS PRESUPUESTALES, CONTRACTUALES, DE TESORERÍA E INVENTARIOS CON SOPORTE TECNICO DURANTE LA VIGENCIA 20;CITLG-RE-008-2024;Publicado;Contratación régimen especial;OFICINA FINANCIERA;1700000;Presentación de oferta;COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ IED;19/03/2024 4:21:54 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5865398;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"ADQUISICIÓN DEL APLICATIVO FINANCIERO Y ACTUALIZACION DE LICENCIA DE SOFTWARE ALMACEN PARA PROCESOS PRESUPUESTALES, CONTRACTUALES, DE TESORERÍA E INVENTARIOS CON SOPORTE TECNICO DURANTE LA
VIGENCIA 2024";1700000;43231604 - Software de análisis financiero;
935;PRESTAR EL SERVICIO DE COMPUTACION EN LA NUBE DEL SISTEMA DE INFORMACION FINANCIERO Y ADMINISTRATIVO SINFA® ERP SAAS (SOFTWARE COMO SERVICIO).;FACATATIVA-DI-272-24;Proceso adjudicado y celebrado;Contratación directa.;Oficina jurídica;447880003;Presentación de oferta;ALCALDIA MUNICIPAL DE FACATATIVA;14/03/2024 3:11:45 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5839509;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;23/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR EL SERVICIO DE COMPUTACION EN LA NUBE DEL SISTEMA DE INFORMACION FINANCIERO Y ADMINISTRATIVO SINFA® ERP SAAS (SOFTWARE COMO SERVICIO).;447880003;43231604 - Software de análisis financiero;
936;ACTUALIZACION APLICATIVO PAGADURIA AS FINANCIERO 2024;RE-CCPL-001-2024;Publicado;Contratación régimen especial;PAGADURIA;900000;Presentación de oferta;COLEGIO CARLOS PIZARRO LEON-GOMEZ;4/03/2024 10:57:37 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5779333;-;Decreto 092 de 2017;Decreto 092 de 2017;4/04/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTUALIZACION APLICATIVO PAGADURIA AS FINANCIERO 2024;1000000;43231604 - Software de análisis financiero;
937;CRTECHONOLOGY;028-2024;Publicado;Contratación régimen especial;UNIDAD DE CONTRATACION;5950000;Presentación de oferta;ACUASAN;2/03/2024 1:58:00 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5770528;-;Decreto 092 de 2017;Decreto 092 de 2017;25/08/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ARRENDAMIENTO DE UNA APLICACION PARA EL AREA DE COMERCIALIZACION Y GESTION DE USUARIOS DE LA EMPRESA DE ACUEDUCTO ALCANTARILLADO ASEO Y GETSION ENERGETICA DE ALUMBRADO PUBLICO DE SAN GIL ACUASAN EICE ESP;12084000;43231604 - Software de análisis financiero;
938;ACTUALIZACION DEL APLICATIVO FINANCIERO VERSION XYZ Y SOFTWARE AS INVENTARIOS VIGENCIA 2024 PARA EL COLEGIO JUAN LOZANO Y LOZANO I.E.D.;04-2024-CJLYL;Proceso en evaluación y observaciones;Contratación régimen especial;IED COLEGIO JUAN LOZANO Y LOZANO;1850000;Presentación de oferta;IED COLEGIO JUAN LOZANO Y LOZANO;1/03/2024 8:28:42 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5761689;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTUALIZACION DEL APLICATIVO FINANCIERO VERSION XYZ  Y SOFTWARE AS INVENTARIOS  VIGENCIA 2024 PARA EL COLEGIO JUAN LOZANO Y LOZANO I.E.D.;1900000;43231604 - Software de análisis financiero;
939;HAS SQL;202400057;Proceso adjudicado y celebrado;Contratación directa.;CONTRATACION TABIO;18746052;Presentación de oferta;ALCALDIA DE TABIO;29/02/2024 4:47:20 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5757245;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;31/08/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIO INTEGRAL PARA LA ACTUALIZACIÓN, CAPACITACIÓN, SOPORTE TÉCNICO Y MANTENIMIENTO DEL SOFTWARE HAS SQL INSTALADO EN EL MUNICIPIO DE TABIO - CUNDINAMARCA.;17000000;43231604 - Software de análisis financiero;
940;PRESTACIÓN DE SERVICIOS PARA REALIZAR EL SOPORTE, MANTENIMIENTO Y/O ACTUALIZACIÓN DEL SOFTWARE PRECONT AÑO 2024;SO-CD-040-2024;Proceso adjudicado y celebrado;Contratación régimen especial;UNIDAD DE CONTRATACIÓN EMPRESA SOCIAL DEL ESTADO SURORIENTE ESE;7500000;Presentación de oferta;ESTADO SURORIENTE ESE;29/02/2024 9:09:00 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5752804;-;Prestación de servicios;Regla aplicable;28/03/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS PARA REALIZAR EL SOPORTE,  MANTENIMIENTO Y/O ACTUALIZACIÓN DEL SOFTWARE PRECONT AÑO 2024;0;43231604 - Software de análisis financiero;
941;Prestar el servicio de actualización y soporte del aplicativo presupuestal, financiero y de almacén para el manejo del Fondo de Servicios Educativos del Colegio la Gaitana IED de acuerdo con las espec;01-2024;Publicado;Contratación régimen especial;COLEGIO LA GAITANA IED;1900000;Presentación de oferta;INSTITUCION EDUCATIVA LA GAITANA 1;19/02/2024 5:17:50 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5688889;-;Otro;Regla aplicable;12 días de tiempo transcurrido (26/04/2024 12:00:00 AM(UTC-05:00) Bogotá, Lima, Quito);Prestar el servicio de actualización y soporte del aplicativo presupuestal, financiero y de almacén para el manejo del Fondo de Servicios Educativos del Colegio la Gaitana IED de acuerdo con las especificaciones técnicas definidas año 2024.;2300000;43231604 - Software de análisis financiero;
942;ACTUALIZACION FIRMA DIGITAL;02 - 2024;Publicado;Contratación régimen especial;COLEGIO RAFAEL NUÑEZ;170000;Presentación de oferta;COLEGIO RAFAEL NUÑEZ IED;16/02/2024 2:24:41 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5674703;-;Decreto 092 de 2017;Decreto 092 de 2017;23/02/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ACTUALIZACION FIRMA DIGITAL;200000;43231604 - Software de análisis financiero;
943;PRESTACIÓN DE SERVICIOS PROFESIONALES, CONSISTENTES EN EL SEGUIMIENTO Y CONTROL DEL CARGUE, REPORTE Y ACTUALIZACIÓN AL SISTEMA UNICO DE INFORMACIÓN-SUI, CORRESPONDIENTE AL MUNICIPIO DE SOMONDOCO;PC-MS-CD-028-2024;Proceso adjudicado y celebrado;Contratación directa.;ANGY CAROLINA HEREDIA;6400000;Presentación de oferta;MUNICIPIO DE SOMONDOCO;16/02/2024 11:32:39 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5672947;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;16/06/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"PRESTACIÓN DE SERVICIOS PROFESIONALES, CONSISTENTES EN EL SEGUIMIENTO Y CONTROL DEL CARGUE, REPORTE Y ACTUALIZACIÓN AL SISTEMA UNICO DE INFORMACIÓN-SUI, CORRESPONDIENTE AL MUNICIPIO DE SOMONDOCO BOYACÀ, EN SU CALIDAD DE  PRESTADOR DIRECTO DE SERVICIOS PUBLICOS DOMICILIARIOS; AL IGUAL QUE BRINDAR APOYO FINANCIERO Y CONTABLE A LA USPD DE LA ENTIDAD TERRITORIAL.";19200000;43231604 - Software de análisis financiero;
944;NOVA CORP SAS;030-2024;Publicado;Contratación régimen especial;Profesional Universitario;2488262;Presentación de oferta;EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA ANA;14/02/2024 5:13:20 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5659164;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);CONTRATAR LA PRESTACIÓN DE SERVICIOS DE UN PROVEEDOR TECNOLÓGICO DE FACTURA ELECTRÓNICA, DEBIDAMENTE AUTORIZADO POR LA DIAN PARA LA GENERACIÓN, EXPEDICIÓN Y RADICACIÓN DE FACTURAS, SOPORTE, MANTENIMIENTO Y ACTUALIZACIONES NORMATIVAS PARA LA ESE HOSPITAL SANTA ANA DE MUZO, PARA LA VIGENCIA DEL AÑO 2024.;2888262;43231604 - Software de análisis financiero;
945;SUMINISTRO DE APLICATIVO PRESUPUESTAL Y DE INVENTARIO;04-2024;Publicado;Contratación régimen especial;COLEGIO GUILLERMO LEÓN VALENCIA;1900000;Presentación de oferta;COLEGIO GUILLERMO LEON VALENCIA IED;13/02/2024 3:50:52 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5648918;-;Suministros;Regla aplicable;15/03/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);SUMINISTRO DE APLICATIVO PRESUPESTAL Y DE INVENTARIO;0;43231604 - Software de análisis financiero;
946;SOFTWARE FINANCERO;170-10-07-210-210-2024;Proceso adjudicado y celebrado;Contratación directa.;SECRETARIA DE EDUCACION MUNICIPAL;85000000;Presentación de oferta;MUNICIPIO DE YUMBO VALLE;8 días de tiempo transcurrido (30/04/2024 7:13:23 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6058545;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);LA PRESTACIÓN DEL SERVICIO A LA SECRETARIA DE EDUCACIÓN MUNICIPAL EN DESARROLLO DEL PROYECTO FORTALECIMIENTO DE LOS PROCESOS DE EFICIENCIA ADMINISTRATIVA PARA EL SOPORTE Y ACTUALIZACIÓN DEL APLICATIVO SAR (SOFTWARE FINANCIERO-SISTEMA INTEGRADO DE GESTIÓN FINANCIERO) PARA LAS 13 INSTITUCIONES EDUCATIVAS OFICIALES DEL MUNICIPIO DE YUMBO;85000000;43231605 - Software de contabilidad de tiempo;
947;Servicio de Suscripción anual del Software Contable en la Nube, para el buen funcionamiento de las actividades administrativas para la institución Educativa Guillermo Leon Valencia de Aguachica, Cesar;CPS 001-2024;Publicado;Contratación régimen especial;CENTRAL;2800000;Presentación de oferta;IE GUILLERMO LEON VALENCIA AGUACHICA, CESAR;15/02/2024 5:33:25 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5668441;-;Suministros;Regla aplicable;18/11/2024 6:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Servicio de Suscripción anual del Software Contable en la Nube, para el buen funcionamiento de las actividades administrativas para la institución Educativa Guillermo Leon Valencia de Aguachica, Cesar.;2810528;43231605 - Software de contabilidad de tiempo;
948;SUMINISTRO DE IMPLEMENTOS DEPORTIVOS;012-2024;Publicado;Contratación régimen especial;JOSE MIGUEL COCHERO TEJADA;4590000;Presentación de oferta;INSTITUCION EDUCATIVA PABLO VI+;1 hora de tiempo transcurrido (8/05/2024 10:24:39 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6100307;-;Suministros;Regla aplicable;5 días de tiempo transcurrido (3/05/2024 5:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);SUMINISTRO DE IMPLEMENTOS DEPORTIVOS PARA LA I.E. PABLO VI DE AYAPEL - CÒRDOBA;0;43232003 - Juegos de deportes;
949;CONVENIO;2024-04-022-001;Proceso en evaluación y observaciones;Contratación régimen especial;INDEPUERTO;65000000;Presentación de oferta;INSTITUTO MUNICIPAL DEL DEPORTE, LA RECREACION, EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACION FISICA DE PUERTO COLOMBIA;8 días de tiempo transcurrido (30/04/2024 5:47:50 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6052319;-;Decreto 092 de 2017;Decreto 092 de 2017;13 días para terminar (22/05/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);"AUNAR ESFUERZOS ENTRE INDEPUERTO Y LA FUNDACIÓN PARA LA PROMOCION DEL DEPORTE, LA CULTURA Y EL DESARROLLO SOSTENIBLE - FUNPRODECS, PARA LA ASIGNACIÓN Y DESEMBOLSO DE RECURSOS PARA LA REALIZACIÓN DE CARTELERA  DE BOXEO ""SUEÑOS DE CAMPEONES 2024"" EN EL MUNICIPIO DE PUERTO COLOMBIA - ATLANTICO";0;43232003 - Juegos de deportes;
950;CONTRATO DE SUMINISTROS E IMPLEMENTOS DE DOTACION PEDAGOGICA;2023007 - 890982062-9;Publicado;Contratación régimen especial;ELKIN PATIÑO PEREZ;3274757;Presentación de oferta;INSTITUCION EDUCATIVA AGRICOLA VICTOR MANUEL OROZCO;19 días de tiempo transcurrido (19/04/2024 7:14:01 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6009004;-;Decreto 092 de 2017;Decreto 092 de 2017;17/07/2023 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Contratar el suministro de implementos de dotacion pedagogica, balones de baloncesto, de microfutbol y boleibol, para la institucion educativa.;0;43232003 - Juegos de deportes;
951;CONTRATO DE SUMINISTROS DE MATERIALES DE DOTACION DEPORTIVA;2023015 - 900025802-3;Publicado;Contratación régimen especial;HEBER ANTONIO SOLERA HOYOS;1738400;Presentación de oferta;INSTITUCION EDUCATIVA DE MINAS;26 días de tiempo transcurrido (12/04/2024 4:57:00 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5975549;-;Decreto 092 de 2017;Decreto 092 de 2017;22/11/2023 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Contratar el suministro de materiales de dotacion deportiva, para la institucion educativa.;0;43232003 - Juegos de deportes;
952;ORGANIZACION EVENTO DEPORTIVO CICLOVIA;EC-23-2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;AREA ADMINISTRATIVA;0;Presentación de oferta;Rama Judicial – Dirección Seccional de Administración Judicial de Cartagena;22/03/2024 4:09:48 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5888593;15 días de tiempo transcurrido (23/04/2024 5:00:00 PM(UTC-05:00) Bogotá, Lima, Quito); ; ;22/12/2024 11:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ORGANIZACION EVENTO DEPORTIVO CICLOVIA;0;43232003 - Juegos de deportes;
953;CONVENIO INTERADMINISTRATIVO;CD-SGR-403-2024;Proceso adjudicado y celebrado;Contratación directa (con ofertas);SECRETARIA GENERAL 2024;2000000;Presentación de oferta;ALCALDIA MUNICIPAL DE VALLEDUPAR;21/03/2024 3:53:43 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5880362;22/03/2024 3:30:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Otro;Contratos o convenios Interadministrativos (con valor);21/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);AUNAR ESFUERZOS ADMINISTRATIVOS, LEGALES, FINANCIEROS Y PRESUPUESTALES PARA FOMENTAR, ORGANIZAR, DIRIGIR, PATROCINAR Y SUPERVISAR LA PRÁCTICA DE DEPORTE FORMATIVO EN EL MUNICIPIO DE VALLEDUPAR;2000000000;43232003 - Juegos de deportes;
954;PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN ADMINISTRATIVA A TRAVÉS DEL FORTALECIMIENTO DEL DEPORTE SOCIAL COMUNITARIO Y CAMPESINO EN EL ÁREA URBANA Y RURAL DEL MUNICIPIO DE SANTA BÁRBARA, ANTIOQUIA;CPS 043-2024;Proceso adjudicado y celebrado;Contratación directa.;OFICINA DE CONTRATACIÓN;8416666;Presentación de oferta;ALCALDIA MUNICIPAL DE SANTA BARBARA;20/03/2024 9:30:21 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5869072;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;30/06/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN ADMINISTRATIVA A TRAVÉS DEL FORTALECIMIENTO DEL DEPORTE SOCIAL COMUNITARIO Y CAMPESINO EN EL ÁREA URBANA Y RURAL DEL MUNICIPIO DE SANTA BÁRBARA, ANTIOQUIA;0;43232003 - Juegos de deportes;
955;ANUAR ESFUERZOS PARA ASISTIR, FOMENTAR Y MASIFICAR LA PRACTICA DEL DEPORTE, LA RECREACION Y EL APROVECHAMIENTO DEL TIEMPO LIBRE EN EL MUNICIPIO DE SITIONUEVO, MAGDALENA PARA LA VIGENCIA 2024;MS-CI-004-2024;Proceso adjudicado y celebrado;Contratación directa.;ALCALDÍA DE SITIONUEVO;150000000;Presentación de oferta;ALCALDIA MUNICIPIO DE SITIONUEVO;14/03/2024 1:25:33 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5838356;-;Prestación de servicios;Ejecución de trabajos artísticos;5 días para terminar (14/05/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);ANUAR ESFUERZOS PARA ASISTIR, FOMENTAR Y MASIFICAR LA PRACTICA DEL DEPORTE, LA RECREACION Y EL APROVECHAMIENTO DEL TIEMPO LIBRE EN EL MUNICIPIO DE SITIONUEVO, MAGDALENA PARA LA VIGENCIA 2024.;150000000;43232003 - Juegos de deportes;
956;PRESTACIÓN DE SERVICIOS PROFESIONALES Y DE APOYO A LA GESTIÓN, COMO ENTRENADOR DE FUTBOL, FUTBOL SALA, PARA LA EJECUCIÓN DE PLANES DE FORMACIÓN DEPORTIVA, ORIENTADOS AL FOMENTO DE LA RECREACIÓN, EL DE;C-MO-CD-015-2024;Proceso adjudicado y celebrado;Contratación directa.;Secretaría de Gobierno;15000000;Presentación de oferta;MUNICIPIO DE OICATA;14/03/2024 11:00:49 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5837099;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;30/12/2024 11:59:00 AM ((UTC-05:00) Bogotá, Lima, Quito);"PRESTACIÓN DE SERVICIOS PROFESIONALES Y DE APOYO A LA GESTIÓN,
COMO ENTRENADOR DE FUTBOL, FUTBOL SALA, PARA LA EJECUCIÓN DE PLANES DE
FORMACIÓN DEPORTIVA, ORIENTADOS AL FOMENTO DE LA RECREACIÓN, EL DEPORTE Y EL APROVECHAMIENTO DEL TIEMPO LIBRE, EN EL MUNICIPIO DE OICATÁ BOYACÁ PARA LA
VIGENCIA 2024";15000000;43232003 - Juegos de deportes;
957;ENTRENADOR DE BALONCESTO;ODS 173 - 2024;Publicado;Contratación régimen especial;GRUPO DE CONTRATACION Y CONVENIOS;5600000;Presentación de oferta;UNIVERSIDAD DE CALDAS.;13/03/2024 1:49:28 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5830851;-;Decreto 092 de 2017;Decreto 092 de 2017;29/11/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Contratar los servicios de un entrenador de baloncesto para brindar apoyo a la gestión del área de recreación y deporte en el programa de conformación de selección deportiva de baloncesto masculino, para estudiantes de pregrado, posgrados y programas especiales los cuales representaran la institución en torneos locales regionales y nacionales ASCUN y demás avalados por la Universidad.;0;43232003 - Juegos de deportes;
958;PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN ADMINISTRATIVA A TRAVÉS DE LA COORDINACIÓN A LOS PROCESOS INSTITUCIONALES DE RECREACIÓN Y DEPORTE A CARGO DEL MUNICIPIO DE SANTA BÁRBARA, ANTIOQUIA;CPS 040-2024;Proceso adjudicado y celebrado;Contratación directa.;OFICINA DE CONTRATACIÓN;18000000;Presentación de oferta;ALCALDIA MUNICIPAL DE SANTA BARBARA;8/03/2024 5:40:48 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5807495;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;7/09/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN ADMINISTRATIVA A TRAVÉS DE LA COORDINACIÓN A LOS PROCESOS INSTITUCIONALES DE RECREACIÓN Y DEPORTE A CARGO DEL MUNICIPIO DE SANTA BÁRBARA, ANTIOQUIA;0;43232003 - Juegos de deportes;
959;CONVENIO INTERADMINISTRATIVO DE COOPERACION;CD-SGR-289-2024;Proceso adjudicado y celebrado;Contratación directa (con ofertas);SECRETARIA GENERAL 2024;395627750;Presentación de oferta;ALCALDIA MUNICIPAL DE VALLEDUPAR;6/03/2024 9:03:14 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5793974;7/03/2024 5:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Otro;Contratos o convenios Interadministrativos (con valor);2 días de tiempo transcurrido (5/05/2024 11:59:00 PM(UTC-05:00) Bogotá, Lima, Quito);Aunar esfuerzos administrativos, legales, financieros y presupuestales para fomentar, organizar, dirigir, patrocinar y supervisar la práctica de deporte asociado en el municipio de Valledupar, durante la vigencia 2024;395627750;43232003 - Juegos de deportes;
