Id;DESCRIPCION;NUMERO_PROCESO;ESTADO;TIPO_PROCESO;UNIDAD_CONTRATACION;VALOR_ESTIMADO;FASE_ACTUAL;ENTIDAD_ESTATAL;FECHA_PUBLICACION;FECHA_OFERTAS;CODIGO_NOTICE;FECHA_PRESENTACION;TIPO_CONTRATO;JUSTIFICACION_CONTRATO;FECHA_TERMINACION;DESCRIPCION_CONTRATO;VALOR_ESTIMADO_ADQUISICIONES;CODIGO_UNSPSC;Licita
444;CAJAS FUERTES LUJAVI LTDA;53012883;Publicado;Contratación régimen especial;DIRECCIÓN GENERAL DE TECNOLOGIA;14500000;Presentación de oferta;BANCO DE LA REPUBLICA;1 hora de tiempo transcurrido (8/05/2024 3:51:45 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6097457;-;Prestación de servicios;Regla aplicable;3/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Contratación de los servicios de mantenimiento de cincuenta (50) módulos de reloj para puertas de bóveda en Bogotá.;0;43231503 - Software de adquisiciones;
445;INGELECTRICOS GRUPPO EMPRESARIAL S.A.S;2024-04-034;Publicado;Contratación régimen especial;Empresa industrial y Comercial del Estado Regimne Especial;2260000;Presentación de oferta;EMPRESA MUNICIPAL PARA LA SALUD (EMSA - LOTERIA DE MANIZALES);22 horas de tiempo transcurrido (7/05/2024 7:18:06 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6092437;-;Prestación de servicios;Regla aplicable;1/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);CONTRATAR EL MANTEMINIENTO PREVENTIVO DE DOS MANTENIMIENTOS  PREVENTIVOS Y/O CORRECTIVOS PARA  LOS EQUPOOS DE RESPALDO DE ENERGIA DE EMSA;33368195;43231503 - Software de adquisiciones;
446;SERVICIOS INFORMATICOS SAS;2024-04-033;Publicado;Contratación régimen especial;Empresa industrial y Comercial del Estado Regimne Especial;9232614;Presentación de oferta;EMPRESA MUNICIPAL PARA LA SALUD (EMSA - LOTERIA DE MANIZALES);22 horas de tiempo transcurrido (7/05/2024 6:55:33 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6092146;-;Prestación de servicios;Regla aplicable;21 días para terminar (30/05/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);COMPRA Y CONFIGURACION DE DOS SWICHES CAPA 2 ADMINISTRABLESLOS CUALES PERMITAN REALIZAR  UNA SEGMENTACION  Y CONTROL DE LA RED DE DATOS;33368195;43231503 - Software de adquisiciones;
447;SOFTWARE PARA ADQUISICIONES;jul-24;Publicado;Contratación régimen especial;tesoreria;1400000;Presentación de oferta;INSTITUICON EDUCATIVA AUGUSTO ZULUAGA PATIÑO;2 días de tiempo transcurrido (6/05/2024 10:59:56 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6079770;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ADQUISICION APLICACION PARA ELABORACION DE DOCUMENTOS DEL EXPEDIENTE CONTRACTUAL;1400000;43231503 - Software de adquisiciones;
448;ADQUISICION SOFTWARE CONTRATACION;SF-005-24;Publicado;Contratación régimen especial;RECTORIA;3120000;Presentación de oferta;INSTITUCION EDUCATIVA DE LA SAGRADA FAMILIA;4 días de tiempo transcurrido (3/05/2024 8:56:58 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6074716;-;Prestación de servicios;Regla aplicable;3/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);ADQUISICION SOFTWARE DE CONTRATACION.;3120000;43231503 - Software de adquisiciones;
449;ACTUALIZACION AS FINANCIERO;2.;Publicado;Contratación régimen especial;COLEGIO EL DESTINO IED;900000;Presentación de oferta;INSTITUCION EDUCATIVA DISTRITAL EL DESTINO;4 días de tiempo transcurrido (3/05/2024 7:04:54 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6074419;-;Compraventa;Regla aplicable;2 días de tiempo transcurrido (6/05/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);COMPRA DE ACTUALIZACION APLICATIVO AS FINANCIERO PARA EL MANEJO PRESUPUESTAL Y DE TESORERIA DE LA INSTITUCION EN LA VIGENCIA 2024.;1500000;43231503 - Software de adquisiciones;
450;COMPRA DE PAQUETE DE SOFTWARE STREAMYARD PARA LA FACULTAD DE CIENCIAS HUMANAS Y ECONOMICAS;01ODC1030142024;Publicado;Contratación régimen especial;Facultad de Ciencias Humanas Y Económicas;1576512;Presentación de oferta;UNIVERSIDAD NACIONAL DE COLOMBIA;12 días de tiempo transcurrido (26/04/2024 7:53:45 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6037829;-;Decreto 092 de 2017;Decreto 092 de 2017;8 días de tiempo transcurrido (30/04/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);COMPRA DE PAQUETE DE SOFTWARE STREAMYARD PARA LA FACULTAD DE CIENCIAS HUMANAS Y ECONOMICAS;0;43231503 - Software de adquisiciones;
451;COMPRA DE LA RENOVACIÓN DE LA LICENCIA CHECK POINT 6400 Y 6600 SOTFWARE BLADES PACKAGE CON DESTINO AL DATACENTER DEL CENTRO DE TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIONES DE LA UNIVERSIDAD SURCOLOMBIA;OC 058 -2024;Publicado;Contratación régimen especial;UNIDAD DE CONTRATACION;143142720;Presentación de oferta;Universidad Surcolombiana;15 días de tiempo transcurrido (23/04/2024 10:06:49 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6018748;-;Compraventa;Regla aplicable; ;COMPRA DE LA RENOVACIÓN DE LA LICENCIA CHECK POINT 6400 Y 6600 SOTFWARE BLADES PACKAGE CON DESTINO AL DATACENTER DEL CENTRO DE TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIONES DE LA UNIVERSIDAD SURCOLOMBIANA;0;43231503 - Software de adquisiciones;
452;ADQUISICIÓN DE EQUIPOS TECNOLÓGICOS PARA LA IMPLEMENTACIÓN DEL SOFTWARE QR DE RESTAURANTES Y BIBLIOTECAS DE LA UNIVERSIDAD SURCOLOMBIANA;OC 054 -2024;Publicado;Contratación régimen especial;UNIDAD DE CONTRATACION;33999395;Presentación de oferta;Universidad Surcolombiana;20 días de tiempo transcurrido (18/04/2024 3:47:17 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6001612;-;Otro;Regla aplicable; ;ADQUISICIÓN DE EQUIPOS TECNOLÓGICOS PARA LA IMPLEMENTACIÓN DEL SOFTWARE QR DE RESTAURANTES Y BIBLIOTECAS DE LA UNIVERSIDAD SURCOLOMBIANA;0;43231503 - Software de adquisiciones;
453;PRESTACION DEL SERVICIO DE MANTENIMIENTO, ACTUALIZACION, ENTRENAMIENTO, CAPACITACION Y SOPORTE DEL SOFTWARE HAS SQL PRESUPUESTO, CONTABILIDAD, TESORERIA Y FACTURACION DE SERVICIOS PUBLICOS, INSTALADOS;CTOSER010 DE 2024;Publicado;Contratación régimen especial;RAMIRO ANDRES DUSSAN COVALEDA;8500000;Presentación de oferta;EMPRESAS PUBLICAS DE TERUEL SA ESP;22 días de tiempo transcurrido (16/04/2024 12:11:36 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5988103;-;Prestación de servicios;Regla aplicable;4/10/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACION DEL SERVICIO DE MANTENIMIENTO, ACTUALIZACION, ENTRENAMIENTO, CAPACITACION Y SOPORTE DEL SOFTWARE HAS SQL PRESUPUESTO, CONTABILIDAD, TESORERIA Y FACTURACION DE SERVICIOS PUBLICOS, INSTALADOS EN LAS EMPRESAS PUBLICAS DE TERUEL EMPTERUELS.A. E.S.P.;0;43231503 - Software de adquisiciones;
454;Servicios SaaS para uso de aplicación Easysales, soporte, capacitación, desarrollo de nuevas funcionalidades, de acuerdo con la definición técnica que se relaciona en las contraprestaciones.;C2024-00206;Publicado;Contratación régimen especial;OFICINAS CONTRATACION Y JURÍDICA;159805807;Presentación de oferta;INDUSTRIA LICORERA DE CALDAS;28 días de tiempo transcurrido (10/04/2024 3:07:30 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5959727;-;Prestación de servicios;Regla aplicable; ;Servicios SaaS para uso de aplicación Easysales, soporte, capacitación, desarrollo de nuevas funcionalidades, de acuerdo con la definición técnica que se relaciona en las contraprestaciones.;880000000;43231503 - Software de adquisiciones;
455;AUDIOVISUAL BROADCASTING & LIGHTING CO SAS;53012535;Publicado;Contratación régimen especial;DIRECCIÓN GENERAL DE TECNOLOGIA;19296915,36;Presentación de oferta;BANCO DE LA REPUBLICA;3/04/2024 12:13:58 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5925027;-;Prestación de servicios;Regla aplicable;31/03/2025 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);A prestar el servicio de renta de equipos audiovisuales, por el término de diez (10) meses para 3 (tres) espacios de la Agencia Cultural de Riohacha del Banco de la República, conforme a la cotización 01-2601-3 del 05 de marzo de 2024 del Proveedor.;0;43231503 - Software de adquisiciones;
456;COMPRA MODULOS;143-PS-03-2024  ADYSNET;Publicado;Contratación régimen especial;Oficina de Contratación;52360000;Presentación de oferta;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN CARLOS AIPE;1/04/2024 5:38:38 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5915501;-;Decreto 092 de 2017;Decreto 092 de 2017;13 días de tiempo transcurrido (25/04/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);COMPRA E IMPLEMENTACIÓN DE SOFTWARE HOSPITALARIO MÓDULOS ASISTENCIALES, HISTORIAS CLÍNICAS CONSULTA EXTERNA-PROMOCIÓN Y MANTENIMIENTO DE LA SALUD Y MÓDULO HISTORIAS CLÍNICAS-URGENCIAS, PARA SATISFACER LAS NECESIDADES DE LA E.S.E HOSPITAL SAN CARLOS DE AIPE - HUILA.;0;43231503 - Software de adquisiciones;
457;GOTRAININGCO SAS;53012483;Publicado;Contratación régimen especial;DIRECCIÓN GENERAL DE TECNOLOGIA;22000000;Presentación de oferta;BANCO DE LA REPUBLICA;1/04/2024 4:46:29 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5914825;-;Prestación de servicios;Regla aplicable;12 días para terminar (21/05/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Talleres relacionados con herramientas de innovación dirigidos a colaboradores del Banco en el marco de la semana de innovación del año 2024.;0;43231503 - Software de adquisiciones;
458;CTO-022-2024;CTO-022-2024;Publicado;Contratación régimen especial;AREA ADMINISTRATIVA;23470150;Presentación de oferta;HOSISMAELPERDOMO;21/03/2024 10:05:40 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5877177;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACION DE SERVICIOS EN ACTUALIZACION Y EN EL SOPORTE REMOTO DE LOS MÓDULOS DEL SOFTWARE SIHOS: INSCRIPCIONES, ADMISIONES, CITAS MÉDICAS Y ODONTOLÓGICAS, CONSULTA MÉDICA, ESTADÍSTICA HISTORIAS CLÍNICAS - TRIAGE - URGENCIAS - INTERNACIÓN EN URGENCIAS Y EN PISO - ODONTOLOGÍA, PROMOCIÓN Y PREVENCIÓN (CONTROL DE METAS Y FICHAS POR FINALIDAD) - VACUNACIÓN - LABORATORIO CLÍNICO E IMÁGENES - INVENTARIO DE FARMACIA, LIQUIDACIÓN DE SERVICIOS DE SALUD, ACTIVOS FIJOS, NOMINA, PRESUPUESTO, TESORERIA, CAR;0;43231503 - Software de adquisiciones;
459;SERVICIOS DE SOFTWARE SIIFWEB;MZ-CD136 DE 2024.;Proceso adjudicado y celebrado;Contratación directa.;MUNICIPIO DE ZARZAL;180000000;Presentación de oferta;MUNICIPIO DE ZARZAL;20/03/2024 3:25:22 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5872724;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR AL MUNICIPIO DE ZARZAL VALLE, LOS SERVICIOS DE IMPLEMENTACIÓN, SOPORTE, ASESORÍA, CAPACITACIÓN, MANTENIMIENTO, ACTUALIZACIÓN Y GESTIÓN TECNOLÓGICA INTEGRAL EN LA NUBE SOBRE EL SUBSISTEMA DE GERENCIA TERRITORIAL SIIFWEB, EL SUBSISTEMA DE GESTIÓN FINANCIERA SIIFWEB, EL SUBSISTEMA DE CONTRATACIÓN SIIFWEB, EL SUBSISTEMA DE RECURSOS FÍSICOS SIIFWEB Y EL SUBSISTEMA DE RECURSOS HUMANOS SIIFWEB CON EL FIN DE GARANTIZAR Y APOYAR LA OPERACIÓN EFICIENTE Y SEGURA DE LOS PROCESOS INSTITUCIONALES;150000000;43231503 - Software de adquisiciones;
460;SERVICIOS DE SOFTWARE SIIFWEB;MZ-CD136 DE 2024;Proceso en evaluación y observaciones;Contratación directa.;MUNICIPIO DE ZARZAL;180000000;Presentación de oferta;MUNICIPIO DE ZARZAL;20/03/2024 1:22:26 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5871221;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR AL MUNICIPIO DE ZARZAL VALLE, LOS SERVICIOS DE IMPLEMENTACIÓN, SOPORTE, ASESORÍA, CAPACITACIÓN, MANTENIMIENTO, ACTUALIZACIÓN Y GESTIÓN TECNOLÓGICA INTEGRAL EN LA NUBE SOBRE EL SUBSISTEMA DE GERENCIA TERRITORIAL SIIFWEB, EL SUBSISTEMA DE GESTIÓN FINANCIERA SIIFWEB, EL SUBSISTEMA DE CONTRATACIÓN SIIFWEB, EL SUBSISTEMA DE RECURSOS FÍSICOS SIIFWEB Y EL SUBSISTEMA DE RECURSOS HUMANOS SIIFWEB CON EL FIN DE GARANTIZAR Y APOYAR LA OPERACIÓN EFICIENTE Y SEGURA DE LOS PROCESOS INSTITUCIONALES;150000000;43231503 - Software de adquisiciones;
461;NETAMENTE SAS;CPS-029-2024;Proceso adjudicado y celebrado;Contratación régimen especial;UC E.S.E. REMEDIOS;10110000;Presentación de oferta;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL REMEDIOS;14/03/2024 1:29:37 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5838562;-;Decreto 092 de 2017;Decreto 092 de 2017;31/12/2024 11:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"PRESTACION DE LOS SERVICIOS DE APOYO A LA
GESTION ADMINISTRATIVA POR LA UTILIZACION DEL
DOMINIO DE LA PLATAFORMA WEB OKASYSTEM PARA
LA NEGOCIACION ENTRE ORGANIZACIONES Y
PROVEEDORES PERMITIENDO DESARROLLAR UN
PROCESO DE COMPRA ELECTRONICA AGIL PARA LA
ESE HOSPITAL SAN VICENTE DE PAUL DE REMEDIOS
ANTIOQUIA.";0;43231503 - Software de adquisiciones;
462;PRESTACIÓN DE SERVICIOS PROFESIONALES, DE FORMA AUTÓNOMA E INDEPENDIENTE, POR PARTE DEL CONTRATISTA Y A FAVOR DE LA EMPRESA, PARA EL DESARROLLO DE ACTIVIDADES DE CAPACITACIÓN, SOPORTE TÉCNICO, MANTENI;CPS-030-2024;Publicado;Contratación régimen especial;"EMPRESAS DEL PUEBLO Y PARA EL PUEBLO DE GIGANTE "" EMPUGIGANTE S.A.E.S.";10987281;Presentación de oferta;EMPUGIGANTE S.A. E.S.P.;11/03/2024 7:37:58 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5818762;-;Prestación de servicios;Regla aplicable;31/12/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE SERVICIOS PROFESIONALES, DE FORMA AUTÓNOMA E INDEPENDIENTE, POR PARTE DEL CONTRATISTA Y A FAVOR DE LA EMPRESA, PARA EL DESARROLLO DE ACTIVIDADES DE CAPACITACIÓN, SOPORTE TÉCNICO, MANTENIMIENTO Y ACTUALIZACIÓN DEL SOFTWARE HAS SQL UTILIZADO POR LA EMPRESA PARA EL CUMPLIMIENTO DE SUS COMPETENCIAS FUNCIONALES.;0;43231503 - Software de adquisiciones;
463;PRESTACION DE SERVICIO PROFESIONALES;042-2024;Proceso adjudicado y celebrado;Contratación régimen especial;OFICINA CONTRATACION;10500000;Presentación de oferta;CENTRO DE SALUD CON CAMAS CANTAGALLO L.;11/03/2024 5:26:19 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5817648;-;Prestación de servicios;Regla aplicable;11/03/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACION DE SERVICIOS PARA LA ACTUALIZACION, SOPORTE Y MANTENIMIENTO DEL SISTEMA DE INFORMACION MEDICO ADMINISTRATIVO PARA EL PERIODO DE 2024;10500000;43231503 - Software de adquisiciones;
464;FUSION DIGITAL CV S.A.S.;53011992;Publicado;Contratación régimen especial;DIRECCIÓN GENERAL DE TECNOLOGIA;22000000;Presentación de oferta;BANCO DE LA REPUBLICA;5/03/2024 10:12:18 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5780739;-;Prestación de servicios;Regla aplicable;10 días de tiempo transcurrido (28/04/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);suministrar servicio de intérprete por (10) diez días, más alquiler de (1) un Trasmisor;0;43231503 - Software de adquisiciones;
465;INGELECTRICOS;2024-03-026;Publicado;Contratación régimen especial;Empresa industrial y Comercial del Estado Regimne Especial;11500000;Presentación de oferta;EMPRESA MUNICIPAL PARA LA SALUD (EMSA - LOTERIA DE MANIZALES);4/03/2024 9:32:48 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5772697;-;Prestación de servicios;Regla aplicable;7/04/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Contratar la prestación del servicio para el suministro e instalación de una UPS Bifásica de 10Kva configurable monofásica toda la potencia en la salida, para alimentar el sistema balotera que se tiene actualmente en Emsa.  Además de ello se requiere llave de Bypass y adecuación eléctrica para la puesta en funcionamiento del equipo de respaldo eléctrico, se debe de entregar la UPS en total funcionamiento con el sistema que se tiene actualmente, realizar pruebas y entregar a satisfacción del clie;33368195;43231503 - Software de adquisiciones;
466;Prestación de servicios para el mantenimiento y actualización del software integrado de gestión empresarial SYSCAFE para la Empresa Social Del Estado Centro De Salud Rafael Salgado Del Municipio De Ma;019-2024;Publicado;Contratación régimen especial;UNIDAD DE GESTION CONTRACTUAL;3410000;Presentación de oferta;ESE CENTRO DE SALUD RAFAEL SALGADO DE MARIPI .;1/03/2024 3:30:10 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5766018;-;Prestación de servicios;Regla aplicable;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios para el mantenimiento y actualización del software integrado de gestión empresarial SYSCAFE para la Empresa Social Del Estado Centro De Salud Rafael Salgado Del Municipio De Maripí Boyacá;0;43231503 - Software de adquisiciones;
467;CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES;CPSP041-2024;Publicado;Contratación régimen especial;CONTRATACION;51651412;Presentación de oferta;ESE HOSPITAL MANUEL ELKIN PATARROYO;22/02/2024 8:16:46 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5709862;-;Decreto 092 de 2017;Decreto 092 de 2017;31/12/2024 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR SERVICIOS PROFESIONALES EN LA RENOVACION, ACTUALIZACION Y SOPORTE DEL SOFTWARE CNT SISTEMAS DE INFORMACION SAS, PACIENTES Y ADMINSTRATIVO Y FUNCIONALIDAD DE FACTURACION ELECTRONICA PARA LA EMPRESA SOCIAL DEL ESTADO HOSPITAL MANUEL ELKIN PATARROYO.;65665383;43231503 - Software de adquisiciones;
468;CMA-CD-20030-JU-303-2024;CMA-CD-20030-JU-303-2024;Proceso adjudicado y celebrado;Contratación directa.;Secretaría General - IUCMA;44578625;Presentación de oferta;INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA;20/02/2024 12:16:30 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5694286;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"""El Contratista de manera independiente, por su propia cuenta y riesgo, se obliga a prestar sus servicios de apoyo a la
gestión para el soporte y mantenimiento a distancia de programas informáticos para (1) PLATAFORMA
Administrativa (PLANNEA), la cual permite el acceso de los diferentes operarios a (8) SISTEMAS INFORMATICOS y
(30) MODULOS administrativos de parametrización, gestión, seguimiento, control e informes., Sistema Banco de
Proyectos, Sistema Mesa de Ayuda (Tecnología), Sistema Mesa de";44578625;43231503 - Software de adquisiciones;
469;CMA-CD-20004-JU-300-2024;CMA-CD-20004-JU-300-2024;Proceso adjudicado y celebrado;Contratación directa.;Secretaría General - IUCMA;29780083;Presentación de oferta;INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA;13/02/2024 5:42:37 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5650141;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;29/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"El Contratista de manera independiente y por su propia cuenta y riesgo, se obliga a prestar el servicio de
acceso y uso de software de intermediación laboral, que le permite a la Institución Universitaria Colegio
Mayor de Antioquia administrar, gestionar y monitorear el proceso de intermediación laboral, teniendo en
cuenta la reglamentación del Servicio Público de Empleo necesaria para la prestación del servicio de bolsa de
empleo.";29780083;43231503 - Software de adquisiciones;
470;CMA-CD-19950-JU-282-2024;CMA-CD-19950-JU-282-2024;Proceso adjudicado y celebrado;Contratación directa.;Secretaría General - IUCMA;36127980;Presentación de oferta;INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA;12/02/2024 12:29:47 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5638811;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);El Contratista de manera independiente, por su propia cuenta y riesgo, se obliga a prestar sus servicios para el Soporte y mantenimiento a distancia de programas informáticos para (2) PLATAFORMAS Administrativas (Plataforma INVESTTIGA, Portales WEB PÚBLICOS), las cuales permiten el acceso de los diferentes operarios a (4) SISTEMAS WEB - Sistema de Investigación, Sistema Web de Contratación, Sistema Web Ofertaen línea, Chat de Bienestar-, los cuales están conformados por (21) MÓDULOS administrati;36127980;43231503 - Software de adquisiciones;
471;CMA-CD-20035-JU-308-2024;CMA-CD-20035-JU-308-2024;Proceso adjudicado y celebrado;Contratación directa.;Secretaría General - IUCMA;47753307;Presentación de oferta;INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DE ANTIOQUIA;9/02/2024 10:11:21 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5625156;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);"El Contratista de manera independiente, es decir, sin que exista subordinación de índole laboral,
se obliga a prestar sus servicios de soporte y mantenimiento a distancia de programas informáticos para (1) PLATAFORMAS Administrativas (Contratta EXTENSION ACADEMICA), las
cuales permiten el acceso de los diferentes operarios a (1) SISTEMA INFORMATICO, el cual está conformados por (8) MÓDULOS administrativos de parametrización, gestión, seguimiento,
control e informes.";47753307;43231503 - Software de adquisiciones;
472;COMPRAVENTA DE LICENCIA VMWARE;4620003205;Publicado;Contratación régimen especial;CENTRO_SERVICIOS;10671013;Presentación de oferta;CONCESION COSTERA CARTAGENA BARRANQUILLA SAS;5 días de tiempo transcurrido (3/05/2024 9:16:30 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6068829;-;Suministros;Regla aplicable;5 días para terminar (14/05/2024 12:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);COMPRAVENTA DE LICENCIA VMWARE;1;43231505 - Software de recursos humanos;
473;Portal Web;ESAP-Cotización-016-2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;Direccion de Contratos;0;Presentación de oferta;ESCUELA SUPERIOR DE ADMINISTRACIÓN PUBLICA;13 días de tiempo transcurrido (25/04/2024 8:07:45 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6030641;6 días de tiempo transcurrido (2/05/2024 4:00:00 PM(UTC-05:00) Bogotá, Lima, Quito); ; ;7 días de tiempo transcurrido (1/05/2024 4:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Cotizar la suscripción a un sistema especializado de empleo que sirva como portal web de trabajo a estudiantes autorizados para prácticas y egresados de la ESAP a nivel Nacional.;0;43231505 - Software de recursos humanos;
474;ORFEO;CPS-025-2024;Proceso adjudicado y celebrado;Contratación directa.;Secretaría General;55138400;Presentación de oferta;BENEFICENCIA DE CUNDINAMARCA;14 días de tiempo transcurrido (24/04/2024 10:30:55 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6025248;-;Prestación de servicios;Servicios profesionales y apoyo a la gestión;24/12/2024 11:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Levantamiento del catálogo del activos de gestión y seguridad de la información de la entidad y reinducción, acompañamiento y soporte en el SOFTWARE DE GESTIÓN DOCUMENTAL ORFEO.;55138400;43231505 - Software de recursos humanos;
475;ACTUALIZACIÓN, SOPORTE TÉCNICO Y CAPACITACIÓN DEL SOFTWARE PIMISYS DE NOMINA VIGENCIA 2024 DE LA SECRETARIA DE DESARROLLO INSTITUCIONAL DE VILLAVICENCIO;CD-801-2024;Proceso adjudicado y celebrado;Contratación directa.;OFICINA DE CONTRATACION;40195000;Presentación de oferta;ALCALDIA MUNICIPIO DE VILLAVICENCIO;16 días de tiempo transcurrido (22/04/2024 5:09:36 PM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.6016006;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado; ;ACTUALIZACIÓN, SOPORTE TÉCNICO Y CAPACITACIÓN DEL SOFTWARE PIMISYS DE NOMINA VIGENCIA 2024 DE LA SECRETARIA DE DESARROLLO INSTITUCIONAL DE VILLAVICENCIO;80000000;43231505 - Software de recursos humanos;
476;solicitud de cotización para contratar los servicios de software vía web, para la nómina de la ARN;SIP-ARN-03-2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;GRUPO GESTION CONTRACTUAL;0;Presentación de oferta;AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN;23 días de tiempo transcurrido (15/04/2024 10:18:23 AM(UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5980272;14 días de tiempo transcurrido (24/04/2024 5:00:00 PM(UTC-05:00) Bogotá, Lima, Quito); ; ;31/12/2025 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Solicitud de cotización para Contratar los servicios de una solución de software vía web, en la modalidad de software como servicio, para apoyar procesos de gestión del talento humano, liquidación y operación de la nómina de la entidad, incluyendo servicios de configuración, migración de datos, puesta en operación, soporte y capacitación.;0;43231505 - Software de recursos humanos;
